racecourse,surface,distance,track_condition,bias_type,pace,horse_name,sire,broodmare_sire,body_weight,body_weight_diff,frame,horse_number,sex_age,weight_carried,jockey
小倉,ダート,1700,稍重,wet_track,fast,ブラックアイロン,カリフォルニアクローム,シーキングザダイヤ,506,0,1,1,牡3,54.0,川端海翼
小倉,ダート,1700,稍重,wet_track,fast,レッドピアレス,コントレイル,Mr. Greeley,460,-6,1,2,牡3,57.0,西村淳也
小倉,ダート,1700,稍重,wet_track,fast,キミガスキダ,ドレフォン,アグネスタキオン,426,0,2,3,牝3,55.0,藤懸貴志
小倉,ダート,1700,稍重,wet_track,fast,ジュピターバローズ,ドレフォン,サクラバクシンオー,514,-8,2,4,牡3,57.0,西塚洸二
小倉,ダート,1700,稍重,wet_track,fast,トモジャカトゥーラ,クリソベリル,エンパイアメーカー,486,3,3,5,牝3,55.0,国分優作
小倉,ダート,1700,稍重,wet_track,fast,グリーンゴー,ハービンジャー,キングカメハメハ,484,2,3,6,牡3,57.0,川田将雅
小倉,ダート,1700,稍重,wet_track,fast,ゴールデンボブ,ゴールドシップ,ブライアンズタイム,478,2,4,7,牡3,57.0,角田大和
小倉,ダート,1700,稍重,wet_track,fast,グーフィー,モズアスコット,スニッツェル,468,-4,4,8,牡3,57.0,長岡禎仁
小倉,ダート,1700,稍重,wet_track,fast,リアライズステラ,スワーヴリチャード,Dansili,476,4,5,9,牡3,57.0,酒井学
小倉,ダート,1700,稍重,wet_track,fast,メンデレーエフ,ディスクリートキャット,パイロ,476,4,5,10,牡3,57.0,富田暁
小倉,ダート,1700,稍重,wet_track,fast,ホッコームジカ,シルバーステート,ヨハネスブルグ,436,0,6,11,牝3,53.0,今村聖奈
小倉,ダート,1700,稍重,wet_track,fast,バンダムソレール,ルーラーシップ,ゼンノロブロイ,472,4,6,12,牡3,55.0,田山旺佑
小倉,ダート,1700,稍重,wet_track,fast,ゴールデンドラゴン,フィエールマン,タートルボウル,450,-4,7,13,牡3,57.0,松若風馬
小倉,ダート,1700,稍重,wet_track,fast,ジューンマーチ,ミッキーアイル,トビーズコーナー,444,4,7,14,牡3,55.0,永島まなみ
小倉,ダート,1700,稍重,wet_track,fast,ハイビッグゴールド,ロジャーバローズ,クロフネ,478,-7,8,15,牡3,57.0,幸英明
小倉,ダート,1700,稍重,wet_track,fast,パスリヤージュ,ナダル,ダイワメジャー,484,0,8,16,牝3,55.0,城戸義政
